organization,city,website,events
Znojemské historické vinobraní,Znojmo,https://www.znojemskevinobrani.cz,Vinobraní
Pálavské vinobraní,Mikulov,https://www.palavske-vinobrani.cz,Vinobraní
Mělnické vinobraní,Mělník,https://www.vinobranimelnik.cz,Vinobraní
Litoměřické vinobraní,Litoměřice,https://www.mkz-ltm.cz,Vinobraní
Slovácké slavnosti vína a otevřených památek,Uherské Hradiště,https://slavnostivinauh.cz,Vinobraní
Valtické vinné trhy,Valtice,https://www.vinnetrhy.cz,Vinobraní
Karlštejnské vinobraní,Karlštejn,https://karlstejnskevinobrani.cz,Vinobraní
Slavnosti pětilisté růže,Český Krumlov,https://www.slavnostipetilisteruze.cz,Městské slavnosti
Chodské slavnosti,Domažlice,https://chodskeslavnosti.cz,Městské slavnosti
Královské stříbření Kutné Hory,Kutná Hora,https://stribreni.cz,Městské slavnosti
Slavnosti svobody Plzeň,Plzeň,https://www.slavnostisvobody.cz,Městské slavnosti
Táborská setkání,Tábor,https://www.taborskasetkani.eu,Městské slavnosti
Kmochův Kolín,Kolín,https://www.kmochuvkolin.cz,Městské slavnosti
Slavnosti města Kladna,Kladno,https://www.mestokladno.cz,Městské slavnosti
Náchodské Kuronské slavnosti,Náchod,https://www.mestonachod.cz,Městské slavnosti
Havíření,Jihlava,https://havirskypruvod.cz,Městské slavnosti
