organization,city,website,events
Kulturní dům Krakov,Praha,https://www.kdkrakov.cz,
Kulturní dům Ládví,Praha,https://www.kdladvi.cz,
Kulturní dům Barikádníků,Praha,https://kdbarikadniku.cz,
Divadlo Gong,Praha,https://www.divadlogong.cz,
KD Mlejn,Praha,https://www.kdmlejn.cz,
KC Zahrada,Praha,https://kczahrada.cz,
Kulturní centrum Novodvorská,Praha,https://www.kcnovodvorska.cz,
Městský společenský dům Kolín,Kolín,https://www.msd-kolin.cz,
Dům kultury Mladá Boleslav,Mladá Boleslav,https://www.kulturamb.cz,
Divadlo Antonína Dvořáka Příbram,Příbram,https://www.divadlopribram.eu,
Městské kulturní centrum Beroun,Beroun,https://mkcberoun.cz,
Kulturní centrum Rakovník,Rakovník,https://www.kulturnicentrum.cz,
Kulturní a informační centrum Benešov,Benešov,https://www.kicbenesov.cz,
Městské Tylovo divadlo Kutná Hora,Kutná Hora,https://www.divadlo-kutnahora.cz,
Hálkovo městské divadlo Nymburk,Nymburk,https://www.divadlonymburk.cz,
Městské kulturní centrum Poděbrady,Poděbrady,https://www.divadlonakovarne.cz,
Kulturní zařízení města Slaného,Slaný,https://kultura.slansko.cz,
Kultura Čáslav,Čáslav,https://www.kulturacaslav.cz,
Kulturní a společenské středisko Kralupy nad Vltavou,Kralupy nad Vltavou,https://www.kasskralupy.cz,
Společenský dům Neratovice,Neratovice,https://www.spoldum.cz,
Mělnické kulturní centrum,Mělník,https://www.mekuc.cz,
Dům kultury Teplice,Teplice,https://www.dkteplice.cz,
Kultura a sport Chomutov,Chomutov,https://www.kultura-sport.cz,
Docela velké divadlo Litvínov,Litvínov,https://www.docelavelkedivadlo.cz,
Vrchlického divadlo Louny,Louny,https://www.divadlolouny.cz,
Městské divadlo v Mostě,Most,https://www.divadlo-most.cz,
Městské divadlo Žatec,Žatec,https://www.divadlozatec.cz,
Městské divadlo Děčín,Děčín,https://www.divadlodecin.cz,
Kulturní zařízení Kadaň,Kadaň,https://www.kultura-kadan.cz,
Městská kulturní zařízení Litoměřice,Litoměřice,https://www.mkz-ltm.cz,
Měšťanská beseda Plzeň,Plzeň,https://mestanskabeseda.cz,
Městské kulturní středisko Klatovy,Klatovy,https://www.mksklatovy.cz,
Městské kulturní středisko Domažlice,Domažlice,https://idomazlice.cz,
Sušické kulturní centrum,Sušice,https://www.kulturasusice.cz,
Kulturní a společenské centrum Lidové sady Liberec,Liberec,https://lidovesadyliberec.cz,
Dům kultury Liberec,Liberec,https://www.dkliberec.cz,
Kultura Jablonec,Jablonec nad Nisou,https://www.kulturajablonec.cz,
Městské divadlo Jablonec nad Nisou,Jablonec nad Nisou,https://www.divadlojablonec.cz,
Kulturní centrum Turnov,Turnov,https://www.kulturaturnov.cz,
Kultura Česká Lípa,Česká Lípa,https://www.cl-kultura.cz,
Společenské centrum UFFO Trutnov,Trutnov,https://www.uffo.cz,
Městské divadlo Dr. Josefa Čížka Náchod,Náchod,https://www.beraneknachod.cz,
Hankův dům Dvůr Králové nad Labem,Dvůr Králové nad Labem,https://www.hankuv-dum.cz,
Kulturní zařízení města Jičína,Jičín,https://kzmj.cz,
Smetanův dům Litomyšl,Litomyšl,https://www.smetanuvdum.cz,
Fabrika Svitavy,Svitavy,https://kultura-svitavy.cz,
Divadlo Karla Pippicha Chrudim,Chrudim,https://www.divadlochrudim.cz,
Kulturní centrum Česká Třebová,Česká Třebová,https://www.kcct.cz,
DKO Jihlava,Jihlava,https://www.dko.cz,
Městské kulturní středisko Třebíč,Třebíč,https://www.mkstrebic.cz,
Kultura Žďár,Žďár nad Sázavou,https://www.dkzdar.cz,
Kulturní dům Ostrov Havlíčkův Brod,Havlíčkův Brod,https://www.kdostrov.cz,
Dům kultury Metropol České Budějovice,České Budějovice,https://www.metropolcb.cz,
Divadlo Oskara Nedbala Tábor,Tábor,https://www.divadlotabor.cz,
Centrum kultury města Písek,Písek,https://www.centrumkultury.cz,
Městské kulturní středisko Strakonice,Strakonice,https://www.meks-st.cz,
Dům kultury města Ostravy,Ostrava,https://www.dkmoas.cz,
Kongresové centrum Zlín,Zlín,https://kc-zlin.cz,
Klub kultury Uherské Hradiště,Uherské Hradiště,https://www.kkuh.cz,
Společenský dům Prostějov,Prostějov,https://www.sdprostejov.cz,
Moravské divadlo Olomouc,Olomouc,https://moravskedivadlo.cz,
Městský dům Přerov,Přerov,https://www.mdprerov.cz,
Kulturní dům Vsetín,Vsetín,https://www.mksvsetin.cz,
Dům kultury Kroměříž,Kroměříž,https://www.dk-kromeriz.cz,
Kulturní dům Dolní Benešov,Dolní Benešov,https://www.kddb.cz,
